aalib 1.4rc5-16
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.1-3
adapta-gtk-theme 3.95.0.11-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-sans-fonts 3.052-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
aha 0.5.1-2
alacritty 0.12.1-1
alpm_octopi_utils 1.0.2-3
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
alsa-utils 1.2.9-1
amdvlk 2023.Q2.2-1
aom 3.6.1-1
apparmor 3.1.4-1
appstream 0.16.2-1
appstream-qt 0.16.2-1
apr 1.7.3-1
apr-util 1.6.3-1
arandr 0.1.11-2
arc-gtk-theme 20221218-1
arc-icon-theme 20161122-3
archlinux-appstream-data 20230526-1
archlinux-keyring 20230504-1
argon2 20190702-5
aria2 1.36.0-1
at-spi2-core 2.48.3-1
attica 5.106.0-1
attr 2.5.1-3
audiofile 0.3.6-8
audit 3.1.1-1
augeas 1.14.0-1
aura-bin 3.2.9-1
autoconf 2.71-4
automake 1.16.5-2
avahi 0.8+22+gfd482a7-4
baloo 5.106.0-1
base 3-1
base-devel 1-1
bash 5.1.016-4
bat 0.23.0-3
bc 1.07.1-4
bind 9.18.15-1
binutils 2.40-6
bison 3.8.2-5
blas 3.11.0-2
bluedevil 1:5.27.5-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-qt 5.106.0-1
bluez-utils 5.66-1
bolt 0.9.5-1
boost-libs 1.81.0-6
breeze 5.27.5-1
breeze-gtk 5.27.5-1
breeze-icons 5.106.0-1
breeze-plymouth 5.27.5-1
brew-git 2.7.4.r10632.g83db7039ef-1
bridge-utils 1.7.1-1
brotli 1.0.9-12
bspwm 0.9.10-3
btrfs-progs 6.3-2
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.90-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-7
cbindgen 0.24.3-1
cblas 3.11.0-2
cdparanoia 10.2-8
chromaprint 1.5.1-7
chromium 114.0.5735.106-1
cifs-utils 7.0-3
clang 15.0.7-9
clinfo 3.0.21.02.21-1
cmake 3.26.4-1
codeblocks 20.03-4
compiler-rt 15.0.7-2
confuse 3.3-3
conky 1.18.1-1
convertlit 1.8-11
coreutils 9.3-1
cpio 2.14-1
cryptsetup 2.6.1-3
cups 1:2.4.4-1
cups-filters 1.28.17-4
curl 8.1.2-1
dav1d 1.2.1-1
db5.3 5.3.28-2
dbus 1.14.6-2
dbus-glib 0.112-2
dconf 0.40.0-2
debootstrap 1.0.128-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.21-1
dhcpcd 10.0.1-1
didyoumean 1.1.4-1
diffutils 3.10-1
discord 0.0.27-2
discount 2.2.7.c-1
discover 5.27.5-1
dmenu-distrotube 5.0.r208.ff48fc8-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dmscripts-git 1.0.r485.343ed73-1
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
drkonqi 5.27.5-1
dtc 1.7.0-4
dtos-alacritty 1.r208.ff48fc8-1
dtos-backgrounds 1.r208.ff48fc8-1
dtos-bash 1.r208.ff48fc8-1
dtos-bspwm 1.r208.ff48fc8-1
dtos-cache 1.r208.ff48fc8-1
dtos-conky 1.r208.ff48fc8-1
dtos-dmscripts 1.r208.ff48fc8-1
dtos-dwm 6.3.r208.ff48fc8-1
dtos-dwmblocks 1.0.r208.ff48fc8-1
dtos-fish 1.r208.ff48fc8-1
dtos-hub 0.1.r208.ff48fc8-1
dtos-local-bin 1.r208.ff48fc8-1
dtos-opendoas 1.r208.ff48fc8-1
dtos-polybar 1.r208.ff48fc8-1
dtos-qutebrowser 1.r208.ff48fc8-1
dtos-sounds 1.r4.b8537d1-1
dtos-sxhkd 1.r208.ff48fc8-1
dtos-sxiv 1.r208.ff48fc8-1
dtos-xmobar 1.r208.ff48fc8-1
dtos-xmonad 1.r208.ff48fc8-1
dtos-xresources 1.r208.ff48fc8-1
dtos-xwallpaper 1.r208.ff48fc8-1
dtos-zsh 1.r208.ff48fc8-1
duktape 2.7.0-5
dump_syms 2.2.1-1
dunst 1.9.2-1
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
edk2-ovmf 202305-1
efibootmgr 18-2
efivar 38-3
electron 22.3.3-1
elementary-icon-theme 7.3.0-1
ell 0.57-1
emacs 28.2-2
enchant 2.3.4-1
exa 0.10.1-7
exfatprogs 1.2.1-1
exiv2 0.27.6-2
exo 4.18.0-1
expat 2.5.0-1
extra-cmake-modules 5.106.0-1
f2fs-tools 1.16.0-2
faad2 2.10.1-1
fakeroot 1.31-2
falkon 23.04.1-1
fancontrol-gui v0.8-1
fd 8.7.0-1
ffmpeg 2:6.0-8
ffmpeg4.4 4.4.3-2
fftw 3.3.10-4
figlet 2.2.5-4
file 5.44-3
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 114.0-1
fish 3.6.1-1
flac 1.4.2-1
flameshot 12.1.0-1
flashrom 1.2-4
flatpak 1:1.15.4-1
flatpak-kcm 5.27.5-1
flex 2.6.4-5
fluidsynth 2.3.2-1
fmt 9.1.0-4
fontconfig 2:2.14.2-1
frameworkintegration 5.106.0-1
freeglut 3.4.0-1
freetype2 2.13.0-1
fribidi 1.0.13-2
fuse-common 3.14.1-1
fuse2 2.9.9-4
fuse3 3.14.1-1
fwupd 1.9.1-1
fwupd-efi 1.4-1
fzf 0.41.1-1
gawk 5.2.2-1
gc 8.2.4-1
gcab 1.5-1
gcc 13.1.1-1
gcc-libs 13.1.1-1
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-6
gdb 13.1-3
gdb-common 13.1-3
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
gettext 0.21.1-5
ghc 9.0.2-3
ghc-libs 9.0.2-3
giflib 5.2.1-2
girara 0.4.0-1
git 2.41.0-1
glew 2.2.0-6
glib-networking 1:2.76.0-1
glib2 2.76.3-1
glibc 2.37-3
glslang 12.1.0-2
glu 9.0.2-3
gmp 6.2.1-2
gnu-free-fonts 20120503-8
gnupg 2.2.41-1
gnutls 3.8.0-1
gobject-introspection-runtime 1.76.1-3
gperf 3.1-4
gperftools 2.10-1
gpgme 1.20.0-3
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.22.4-10
grub 2:2.06.r499.ge67a551a4-1
gsettings-desktop-schemas 44.0-1
gsm 1.0.22-1
gspell 1.12.1-1
gssdp 1.6.2-1
gst-plugins-bad-libs 1.22.3-4
gst-plugins-base 1.22.3-4
gst-plugins-base-libs 1.22.3-4
gst-plugins-good 1.22.3-4
gstreamer 1.22.3-4
gtk-update-icon-cache 1:4.10.4-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
guile 3.0.9-1
gupnp 1:1.6.3-1
gupnp-igd 1.6.0-1
gzip 1.12-2
harfbuzz 7.3.0-1
harfbuzz-icu 7.3.0-1
haskell-adjunctions 4.4.2-51
haskell-aeson 2.1.2.1-3
haskell-aeson-pretty 0.8.9-133
haskell-alsa-core 0.5.0.1-17
haskell-alsa-mixer 0.3.0-73
haskell-annotated-wl-pprint 0.7.0-25
haskell-ansi-terminal 0.11.4-24
haskell-ansi-wl-pprint 0.6.9-376
